FirstName;Initials;Lastname;Username;City;ZipCode;Country;Department;Password;Telephone;JobTitle;Company;OU
Max;MF;Fraser;Max.Fraser;London;NW1 6XE;GB;Support;mstTestPass123;44123456780;Engineer;VanRoey;OU=IT,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Piers;PB;Bower;Piers.Bower;London;NW1 6XE;GB;Support;mstTestPass123;44123456781;Manager;VanRoey;OU=IT,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Kylie;KD;Davidson;Kylie.Davidson;London;NW1 6XE;GB;Support;mstTestPass123;44123456782;Engineer;VanRoey;OU=IT,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Richard;RG;Grant;Richard.Grant;London;NW1 6XE;GB;Support;mstTestPass123;44123456783;Teamleader;VanRoey;OU=Accounting,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Boris;BC;Campbell;Boris.Campbell;London;NW1 6XE;GB;Support;mstTestPass123;44123456784;Engineer;VanRoey;OU=HR,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Nicholas;NM;Murray;Nicholas.Murray;London;NW1 6XE;GB;Support;mstTestPass123;44123456785;Manager;VanRoey;OU=HR,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Leonard;LC;Clark;Leonard.Clark;London;NW1 6XE;GB;Support;mstTestPass123;44123456786;Engineer;VanRoey;OU=Marketing,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Ruth;RD;Dickens;Ruth.Dickens;London;NW1 6XE;GB;Support;mstTestPass123;44123456787;Engineer;VanRoey;OU=Marketing,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Jonathan;JF;Fisher;Jonathan.Fisher;London;NW1 6XE;GB;Support;mstTestPass123;44123456788;Engineer;VanRoey;OU=Management,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Grace;GR;Rees;Grace.Rees;London;NW1 6XE;GB;Support;mstTestPass123;44123456789;Engineer;VanRoey;OU=Management,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
Adnane;AC;Chentouf;Adnane.Chentouf;Turnhout;2300;BE;Support;mstTestPass123;4,41E+10;Admin;VanRoey;OU=VanRoey - Administrators,OU=VanRoey,DC=mstechnics,DC=be
Ruan;RP;Paulussen;Ruan.Paulussen;Lille;2460;BE;Support;mstTestPass123;44092181071;Engineer;VanRoey;OU=IT,OU=VanRoey - Users,OU=VanRoey,DC=mstechnics,DC=be
